"fecha";"Run Fondo";"periodo";"rent";"serie"
2023-02-24;"8305";"1Y";0.11;APV
2023-02-24;"8305";YTD;-0.01;APV
2023-02-25;"8305";"1M";0.00;APV
2023-02-25;"8305";"3M";-0.02;APV
2023-02-25;"8305";"6M";-0.06;APV
2023-02-25;"8305";"1Y";0.08;APV
2023-02-25;"8305";YTD;-0.01;APV
2023-02-26;"8305";"1M";-0.01;APV
2023-02-26;"8305";"3M";-0.02;APV
2023-02-26;"8305";"6M";-0.06;APV
2023-02-26;"8305";"1Y";0.08;APV
2023-02-26;"8305";YTD;-0.01;APV
2023-02-27;"8305";"1M";-0.01;APV
2023-02-27;"8305";"3M";-0.01;APV
2023-02-27;"8305";"6M";-0.05;APV
2023-02-27;"8305";"1Y";0.09;APV
2023-02-27;"8305";YTD;0.00;APV
2023-02-28;"8305";"1M";0.00;APV
2023-02-28;"8305";"3M";0.01;APV
2023-02-28;"8305";"6M";-0.04;APV
2023-02-28;"8305";"1Y";0.08;APV
2023-02-28;"8305";YTD;0.01;APV
2023-03-01;"8305";"1M";0.01;APV
2023-03-01;"8305";"3M";-0.01;APV
2023-03-01;"8305";"6M";-0.03;APV
2023-03-01;"8305";"1Y";0.10;APV
2023-03-01;"8305";YTD;0.01;APV
2023-03-02;"8305";"1M";0.01;APV
2023-03-02;"8305";"3M";-0.01;APV
2023-03-02;"8305";"6M";-0.07;APV
2023-03-02;"8305";"1Y";0.09;APV
2023-03-02;"8305";YTD;0.01;APV
2023-03-03;"8305";"1M";0.01;APV
2023-03-03;"8305";"3M";0.00;APV
2023-03-03;"8305";"6M";-0.06;APV
2023-03-03;"8305";"1Y";0.08;APV
2023-03-03;"8305";YTD;0.02;APV
2023-03-04;"8305";"1M";0.01;APV
2023-03-04;"8305";"3M";0.00;APV
2023-03-04;"8305";"6M";-0.06;APV
2023-03-04;"8305";"1Y";0.06;APV
2023-03-04;"8305";YTD;0.02;APV
2023-03-05;"8305";"1M";0.01;APV
2023-03-05;"8305";"3M";0.00;APV
2023-03-05;"8305";"6M";-0.09;APV
2023-03-05;"8305";"1Y";0.06;APV
2023-03-05;"8305";YTD;0.02;APV
2023-03-06;"8305";"1M";0.02;APV
2023-03-06;"8305";"3M";0.01;APV
2023-03-06;"8305";"6M";-0.06;APV
2023-03-06;"8305";"1Y";0.05;APV
2023-03-06;"8305";YTD;0.01;APV
2023-03-07;"8305";"1M";0.02;APV
2023-03-07;"8305";"3M";0.01;APV
2023-03-07;"8305";"6M";-0.05;APV
2023-03-07;"8305";"1Y";0.06;APV
2023-03-07;"8305";YTD;0.01;APV
